Nominee,Party,Home.state,Running.mate,Electoral.vote,Popular.vote,Percentage,year,state,url
Donald Trump,Republican,New York,Mike Pence,8,1202971,62.52,2016,Kentucky,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Kentucky
Hillary Clinton,Democratic,New York,Tim Kaine,0,628854,32.68,2016,Kentucky,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Kentucky
James M Cox,Democratic,Ohio,Franklin D Roosevelt,10,87519,69.24,1920,Louisiana,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Louisiana
Warren G Harding,Republican,Ohio,Calvin Coolidge,0,38538,30.49,1920,Louisiana,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Louisiana
John W Davis,Democratic,West Virginia,Charles W Bryan,10,93218,76.44,1924,Louisiana,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Louisiana
Calvin Coolidge,Republican,Massachusetts,Charles G Dawes,0,24670,20.23,1924,Louisiana,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Louisiana
Al Smith,Democratic,New York,Joseph T Robinson,10,164655,76.29,1928,Louisiana,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Louisiana
Herbert Hoover,Republican,California,Charles Curtis,0,51160,23.7,1928,Louisiana,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Louisiana
Franklin D Roosevelt,Democratic,New York,John Nance Garner,10,249418,92.8,1932,Louisiana,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Louisiana
Herbert Hoover,Republican,California,Charles Curtis,0,18853,7,1932,Louisiana,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Louisiana
Franklin D Roosevelt,Democratic,New York,John Nance Garner,10,292894,88.8,1936,Louisiana,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Louisiana
Alf Landon,Republican,Kansas,Frank Knox,0,36791,11.2,1936,Louisiana,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Louisiana
Franklin D Roosevelt,Democratic,New York,Henry A Wallace,10,319751,85.9,1940,Louisiana,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Louisiana
Wendell Willkie,Republican,Indiana,Charles L McNary,0,52446,14.1,1940,Louisiana,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Louisiana
Franklin D Roosevelt,Democratic,New York,Harry Truman,10,281564,80.59,1944,Louisiana,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Louisiana
Thomas E Dewey,Republican,New York,John Bricker,0,67750,19.39,1944,Louisiana,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Louisiana
Strom Thurmond,Dixiecrat,South Carolina,Fielding L Wright,10,204290,49.1,1948,Louisiana,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Louisiana
Harry S Truman,Democratic,Missouri,Alben W Barkley,0,136344,32.8,1948,Louisiana,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Louisiana
Thomas E Dewey,Republican,New York,Earl Warren,0,72657,17.5,1948,Louisiana,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Louisiana
Adlai Stevenson,Democratic,Illinois,John Sparkman,10,345027,52.9,1952,Louisiana,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Louisiana
Dwight D Eisenhower,Republican,New York,Richard Nixon,0,306925,47.1,1952,Louisiana,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Louisiana
Dwight D Eisenhower,Republican,Pennsylvania,Richard Nixon,10,329047,53.3,1956,Louisiana,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Louisiana
Adlai Stevenson,Democratic,Illinois,Estes Kefauver,0,243977,39.5,1956,Louisiana,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Louisiana
Unpledged electors,Independent,Running mate,Electoral vote,0,44520,7.21,1956,Louisiana,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Louisiana
John F Kennedy,Democratic,Massachusetts,Lyndon B Johnson,10,407339,50.4,1960,Louisiana,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Louisiana
Richard Nixon,Republican,California,Henry Cabot Lodge Jr,0,230980,28.6,1960,Louisiana,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Louisiana
Unpledged electors,States Rights,Running mate,Electoral vote,0,169752,21,1960,Louisiana,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Louisiana
Barry Goldwater,Republican,Arizona,William E Miller,10,509225,56.8,1964,Louisiana,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Louisiana
Lyndon B Johnson,Democratic,Texas,Hubert Humphrey,0,387068,43.2,1964,Louisiana,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Louisiana
George Wallace,American Independent,Alabama,Curtis LeMay,10,530300,48.32,1968,Louisiana,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Louisiana
Hubert Humphrey,Democratic,Minnesota,Edmund Muskie,0,309615,28.21,1968,Louisiana,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Louisiana
Richard Nixon,Republican,New York,Spiro Agnew,0,257535,23.47,1968,Louisiana,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Louisiana
Richard Nixon,Republican,California,Spiro Agnew,10,686852,65.32,1972,Louisiana,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Louisiana
George McGovern,Democratic,South Dakota,Sargent Shriver,0,298142,28.35,1972,Louisiana,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Louisiana
Jimmy Carter,Democratic,Georgia,Walter Mondale,10,661365,51.7,1976,Louisiana,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Louisiana
Gerald Ford,Republican,Michigan,Bob Dole,0,587446,45.9,1976,Louisiana,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Louisiana
Ronald Reagan,Republican,California,George H W Bush,10,792853,51.2,1980,Louisiana,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Louisiana
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,708453,45.8,1980,Louisiana,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Louisiana
Ronald Reagan,Republican,California,George H W Bush,10,1037299,60.77,1984,Louisiana,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Louisiana
Walter Mondale,Democratic,Minnesota,Geraldine Ferraro,0,651586,38.18,1984,Louisiana,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Louisiana
George H W Bush,Republican,Texas,Dan Quayle,10,883702,54.27,1988,Louisiana,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Louisiana
Michael Dukakis,Democratic,Massachusetts,Lloyd Bentsen,0,717460,44.06,1988,Louisiana,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Louisiana
Bill Clinton,Democratic,Arkansas,Al Gore,9,815971,45.58,1992,Louisiana,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Louisiana
George H W Bush,Republican,Texas,Dan Quayle,0,733386,40.97,1992,Louisiana,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Louisiana
Ross Perot,Independent,Texas,James Stockdale,0,211478,11.81,1992,Louisiana,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Louisiana
Bill Clinton,Democratic,Arkansas,Al Gore,9,927837,52.01,1996,Louisiana,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Louisiana
Bob Dole,Republican,Kansas,Jack Kemp,0,712586,39.94,1996,Louisiana,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Louisiana
Ross Perot,Reform,Texas,James Campbell,0,123293,6.91,1996,Louisiana,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Louisiana
George W Bush,Republican,Texas,Dick Cheney,9,927871,52.55,2000,Louisiana,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Louisiana
Al Gore,Democratic,Tennessee,Joe Lieberman,0,792344,44.88,2000,Louisiana,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Louisiana
George W Bush,Republican,Texas,Dick Cheney,9,1102169,56.72,2004,Louisiana,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Louisiana
John Kerry,Democratic,Massachusetts,John Edwards,0,820299,42.22,2004,Louisiana,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Louisiana
John McCain,Republican,Arizona,Sarah Palin,9,1148275,58.56,2008,Louisiana,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Louisiana
Barack Obama,Democratic,Illinois,Joe Biden,0,782989,39.93,2008,Louisiana,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Louisiana
Mitt Romney,Republican,Massachusetts,Paul Ryan,8,1152262,57.78,2012,Louisiana,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Louisiana
Barack Obama,Democratic,Illinois,Joe Biden,0,809141,40.58,2012,Louisiana,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Louisiana
Donald Trump,Republican,New York,Mike Pence,8,1178638,58.09,2016,Louisiana,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Louisiana
Hillary Clinton,Democratic,New York,Tim Kaine,0,780154,38.45,2016,Louisiana,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Louisiana
Warren G Harding,Republican,Ohio,Calvin Coolidge,6,136355,68.92,1920,Maine,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Maine
James M Cox,Democratic,Ohio,Franklin D Roosevelt,0,58961,29.8,1920,Maine,https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Maine
Calvin Coolidge,Republican,Massachusetts,Charles G Dawes,6,138440,72.03,1924,Maine,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Maine
John W Davis,Democratic,West Virginia,Charles W Bryan,0,41964,21.83,1924,Maine,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Maine
Robert M La Follette,Progressive,Wisconsin,Burton K Wheeler,0,11382,5.92,1924,Maine,https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Maine
Herbert Hoover,Republican,California,Charles Curtis,6,179923,68.63,1928,Maine,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Maine
Al Smith,Democratic,New York,Joseph Taylor Robinson,0,81179,30.96,1928,Maine,https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Maine
Herbert Hoover,Republican,California,Charles Curtis,5,166631,55.83,1932,Maine,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Maine
Franklin D Roosevelt,Democratic,New York,John Nance Garner,0,128907,43.19,1932,Maine,https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Maine
Alf Landon,Republican,Kansas,Frank Knox,5,168823,55.49,1936,Maine,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Maine
Franklin D Roosevelt,Democratic,New York,John Nance Garner,0,126333,41.52,1936,Maine,https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Maine
Wendell Willkie,Republican,Indiana,Charles L McNary,5,163951,51.1,1940,Maine,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Maine
Franklin D Roosevelt,Democratic,New York,Henry A Wallace,0,156478,48.77,1940,Maine,https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Maine
Thomas E Dewey,Republican,New York,John W Bricker,5,155434,52.44,1944,Maine,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Maine
Franklin D Roosevelt,Democratic,New York,Harry S Truman,0,140631,47.45,1944,Maine,https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Maine
Thomas E Dewey,Republican,New York,Earl Warren,5,150234,56.74,1948,Maine,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Maine
Harry S Truman,Democratic,Missouri,Alben William Barkley,0,111916,42.27,1948,Maine,https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Maine
Dwight D Eisenhower,Republican,New York,Richard Nixon,5,232353,66.05,1952,Maine,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Maine
Adlai Stevenson,Democratic,Illinois,John Sparkman,0,118806,33.77,1952,Maine,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Maine
Dwight D Eisenhower,Republican,Pennsylvania,Richard Nixon,5,249238,70.87,1956,Maine,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Maine
Adlai Stevenson,Democratic,Illinois,Estes Kefauver,0,102468,29.13,1956,Maine,https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Maine
Richard Nixon,Republican,California,Henry Cabot Lodge Jr,5,240608,57.05,1960,Maine,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Maine
John F Kennedy,Democratic,Massachusetts,Lyndon B Johnson,0,181159,42.94,1960,Maine,https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Maine
Lyndon B Johnson,Democratic,Texas,Hubert Humphrey,4,262264,68.8,1964,Maine,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Maine
Barry Goldwater,Republican,Arizona,William E Miller,0,118701,31.14,1964,Maine,https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Maine
Hubert Humphrey,Democratic,Minnesota,Edmund Muskie,4,217312,55.3,1968,Maine,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Maine
Richard Nixon,Republican,New York,Spiro Agnew,0,169254,43.07,1968,Maine,https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Maine
Richard Nixon,Republican,California,Spiro Agnew,4,256458,61.46,1972,Maine,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Maine
George McGovern,Democratic,South Dakota,Sargent Shriver,0,160584,38.48,1972,Maine,https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Maine
Gerald Ford,Republican,Michigan,Bob Dole,4,236320,48.91,1976,Maine,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Maine
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,232279,48.07,1976,Maine,https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Maine
Ronald Reagan,Republican,California,George H W Bush,4,238522,45.61,1980,Maine,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Maine
Jimmy Carter,Democratic,Georgia,Walter Mondale,0,220974,42.25,1980,Maine,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Maine
John B Anderson,Independent,Illinois,Patrick Lucey,0,53327,10.2,1980,Maine,https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Maine
Ronald Reagan,Republican,California,George H W Bush,4,336500,60.83,1984,Maine,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Maine
Walter Mondale,Democratic,Minnesota,Geraldine Ferraro,0,214515,38.78,1984,Maine,https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Maine
George H W Bush,Republican,Texas,Dan Quayle,4,307131,55.34,1988,Maine,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Maine
Michael Dukakis,Democratic,Massachusetts,Lloyd Bentsen,0,243569,43.88,1988,Maine,https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Maine
Bill Clinton,Democratic,Arkansas,Al Gore,4,263420,38.77,1992,Maine,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Maine
Ross Perot,Independent,Texas,James Stockdale,0,206820,30.44,1992,Maine,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Maine
George H W Bush,Republican,Texas,Dan Quayle,0,206504,30.39,1992,Maine,https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Maine
Bill Clinton,Democratic,Arkansas,Al Gore,4,312788,51.62,1996,Maine,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Maine
Bob Dole,Republican,Kansas,Jack Kemp,0,186378,30.76,1996,Maine,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Maine
Ross Perot,Reform,Texas,James Campbell,0,85970,14.19,1996,Maine,https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Maine
Al Gore,Democratic,Tennessee,Joe Lieberman,4,319951,49.09,2000,Maine,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Maine
George W Bush,Republican,Texas,Dick Cheney,0,286616,43.97,2000,Maine,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Maine
Ralph Nader,Green,Connecticut,Winona LaDuke,0,37127,5.7,2000,Maine,https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Maine
John Kerry,Democratic,Massachusetts,John Edwards,4,396842,53.57,2004,Maine,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Maine
George W Bush,Republican,Texas,Dick Cheney,0,330201,44.58,2004,Maine,https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Maine
Barack Obama,Democratic,Illinois,Joe Biden,4,421923,57.71,2008,Maine,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Maine
John McCain,Republican,Arizona,Sarah Palin,0,295273,40.38,2008,Maine,https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Maine
Barack Obama,Democratic,Illinois,Joe Biden,4,401306,56.27,2012,Maine,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Maine
