"Nominee","Party","Home.state","Running.mate","Electoral.vote","Popular.vote","Percentage","year","state","url","margin","electoral_votes_maximum","electoral_winner","state_winner","votes_margin_total"
"Ronald Reagan","Republican","California","George H W Bush",7,681416,66.42,1984,"Arizona","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Arizona",347562,7,"Ronald Reagan","Ronald Reagan",5351583
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro",0,333854,32.54,1984,"Arizona","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Arizona",347562,7,"Ronald Reagan","Ronald Reagan",5351583
"George H W Bush","Republican","Texas","Dan Quayle",7,702541,59.95,1988,"Arizona","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Arizona",248512,7,"George H W Bush","George H W Bush",1098368
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen",0,454029,38.74,1988,"Arizona","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Arizona",248512,7,"George H W Bush","George H W Bush",1098368
"George H W Bush","Republican","Texas","Dan Quayle",8,572086,38.47,1992,"Arizona","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arizona",29036,8,"Bill Clinton","George H W Bush",569655
"Bill Clinton","Democratic","Arkansas","Al Gore",0,543050,36.52,1992,"Arizona","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arizona",29036,8,"Bill Clinton","George H W Bush",569655
"Ross Perot","Independent","Texas","James Stockdale",0,353741,23.79,1992,"Arizona","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arizona",29036,8,"Bill Clinton","George H W Bush",569655
"Bill Clinton","Democratic","Arkansas","Al Gore",8,653288,46.52,1996,"Arizona","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arizona",31215,8,"Bill Clinton","Bill Clinton",1151013
"Bob Dole","Republican","Kansas","Jack Kemp",0,622073,44.29,1996,"Arizona","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arizona",31215,8,"Bill Clinton","Bill Clinton",1151013
"Ross Perot","Reform","Texas","Pat Choate",0,112072,7.98,1996,"Arizona","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arizona",31215,8,"Bill Clinton","Bill Clinton",1151013
"George W Bush","Republican","Texas","Dick Cheney",8,781652,50.95,2000,"Arizona","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Arizona",96311,8,"George W Bush","George W Bush",537
"Al Gore","Democratic","Tennessee","Joe Lieberman",0,685341,44.67,2000,"Arizona","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Arizona",96311,8,"George W Bush","George W Bush",537
"George W Bush","Republican","Texas","Dick Cheney",10,1104294,54.77,2004,"Arizona","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Arizona",210770,10,"George W Bush","George W Bush",115570
"John Kerry","Democratic","Massachusetts","John Edwards",0,893524,44.32,2004,"Arizona","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Arizona",210770,10,"George W Bush","George W Bush",115570
"John McCain","Republican","Arizona","Sarah Palin",10,1230111,53.39,2008,"Arizona","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Arizona",195404,10,"Barack Obama","John McCain",990320
"Barack Obama","Democratic","Illinois","Joe Biden",0,1034707,44.91,2008,"Arizona","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Arizona",195404,10,"Barack Obama","John McCain",990320
"Mitt Romney","Republican","Massachusetts","Paul Ryan",11,1233654,53.48,2012,"Arizona","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona",208422,11,"Barack Obama","Mitt Romney",429522
"Barack Obama","Democratic","Illinois","Joe Biden",0,1025232,44.45,2012,"Arizona","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arizona",208422,11,"Barack Obama","Mitt Romney",429522
"Donald Trump","Republican","New York","Mike Pence",11,1252401,48.08,2016,"Arizona","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Arizona",91234,11,"Donald Trump","Donald Trump",77744
"Hillary Clinton","Democratic","New York","Tim Kaine",0,1161167,44.58,2016,"Arizona","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Arizona",91234,11,"Donald Trump","Donald Trump",77744
"James M Cox","Democratic","Ohio","Franklin D Roosevelt",9,106682,58.05,1920,"Arkansas","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Arkansas",34734,9,"Warren G Harding","James M Cox",1291746
"Warren G Harding","Republican","Ohio","Calvin Coolidge",0,71948,39.15,1920,"Arkansas","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Arkansas",34734,9,"Warren G Harding","James M Cox",1291746
"John W Davis","Democratic","West Virginia","Charles W Bryan",9,84790,61.2,1924,"Arkansas","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arkansas",44207,9,"Calvin Coolidge","John W Davis",775520
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",0,40583,29.29,1924,"Arkansas","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arkansas",44207,9,"Calvin Coolidge","John W Davis",775520
"Robert M La Follette","Progressive","Wisconsin","Burton K Wheeler",0,13167,9.5,1924,"Arkansas","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Arkansas",44207,9,"Calvin Coolidge","John W Davis",775520
"Al Smith","Democratic","New York","Joseph T Robinson",9,123140,61.06,1928,"Arkansas","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Arkansas",45351,9,"Herbert Hoover","Al Smith",866640
"Herbert Hoover","Republican","California","Charles Curtis",0,77789,38.57,1928,"Arkansas","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Arkansas",45351,9,"Herbert Hoover","Al Smith",866640
"Franklin D Roosevelt","Democratic","New York","John N Garner",9,189529,86.44,1932,"Arkansas","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Arkansas",162064,9,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Herbert Hoover","Republican","California","Charles Curtis",0,27465,12.53,1932,"Arkansas","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Arkansas",162064,9,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",9,146765,81.8,1936,"Arkansas","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Arkansas",114726,9,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alf Landon","Republican","Kansas","Frank Knox",0,32039,17.86,1936,"Arkansas","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Arkansas",114726,9,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",9,157213,78.44,1940,"Arkansas","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Arkansas",115091,9,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Wendell Willkie","Republican","New York","Charles L McNary",0,42122,21.02,1940,"Arkansas","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Arkansas",115091,9,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",9,148965,69.9,1944,"Arkansas","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Arkansas",85414,9,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","John W Bricker",0,63551,29.8,1944,"Arkansas","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Arkansas",85414,9,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Harry S Truman","Democratic","Missouri","Alben W Barkley",9,149659,61.7,1948,"Arkansas","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arkansas",98700,9,"Harry S Truman","Harry S Truman",111495
"Thomas Dewey","Republican","New York","Earl Warren",0,50959,21,1948,"Arkansas","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arkansas",98700,9,"Harry S Truman","Harry S Truman",111495
"Strom Thurmond","Dixiecrat","South Carolina","Fielding L Wright",0,40068,16.5,1948,"Arkansas","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Arkansas",98700,9,"Harry S Truman","Harry S Truman",111495
"Adlai Stevenson","Democratic","Illinois","John Sparkman",8,226300,55.9,1952,"Arkansas","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Arkansas",49145,8,"Dwight D Eisenhower","Adlai Stevenson",1488890
"Dwight D Eisenhower","Republican","New York","Richard Nixon",0,177155,43.8,1952,"Arkansas","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Arkansas",49145,8,"Dwight D Eisenhower","Adlai Stevenson",1488890
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",8,213777,52.5,1956,"Arkansas","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Arkansas",27490,8,"Dwight D Eisenhower","Adlai Stevenson",2349385
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",0,186287,45.8,1956,"Arkansas","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Arkansas",27490,8,"Dwight D Eisenhower","Adlai Stevenson",2349385
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",8,215049,50.2,1960,"Arkansas","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arkansas",30541,8,"John F Kennedy","John F Kennedy",22724.0000000001
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",0,184508,43.1,1960,"Arkansas","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arkansas",30541,8,"John F Kennedy","John F Kennedy",22724.0000000001
"Orval Faubus","National States Rights Party","Arkansas","John G Crommelin",0,28952,6.8,1960,"Arkansas","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Arkansas",30541,8,"John F Kennedy","John F Kennedy",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",6,314197,56.1,1964,"Arkansas","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Arkansas",70933,6,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Barry Goldwater","Republican","Arizona","William E Miller",0,243264,43.4,1964,"Arkansas","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Arkansas",70933,6,"Lyndon B Johnson","Lyndon B Johnson",4118457
"George Wallace","American Independent","Alabama","Curtis LeMay",6,235627,38.7,1968,"Arkansas","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arkansas",46565,6,"Richard Nixon","George Wallace",266590
"Richard Nixon","Republican","New York","Spiro Agnew",0,189062,31,1968,"Arkansas","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arkansas",46565,6,"Richard Nixon","George Wallace",266590
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",0,184901,30.3,1968,"Arkansas","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Arkansas",46565,6,"Richard Nixon","George Wallace",266590
"Richard Nixon","Republican","California","Spiro Agnew",6,445751,68.8,1972,"Arkansas","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Arkansas",246852,6,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver",0,198899,30.7,1972,"Arkansas","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Arkansas",246852,6,"Richard Nixon","Richard Nixon",6349532
"Jimmy Carter","Democratic","Georgia","Walter Mondale",6,499614,64.94,1976,"Arkansas","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Arkansas",230861,6,"Jimmy Carter","Jimmy Carter",45716
"Gerald Ford","Republican","Michigan","Bob Dole",0,268753,34.93,1976,"Arkansas","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Arkansas",230861,6,"Jimmy Carter","Jimmy Carter",45716
"Ronald Reagan","Republican","California","George H W Bush",6,403164,48.1,1980,"Arkansas","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Arkansas",5123,6,"Ronald Reagan","Ronald Reagan",1462353
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,398041,47.5,1980,"Arkansas","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Arkansas",5123,6,"Ronald Reagan","Ronald Reagan",1462353
"Ronald Reagan","Republican","California","George H W Bush",6,534774,60.47,1984,"Arkansas","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Arkansas",196128,6,"Ronald Reagan","Ronald Reagan",5351583
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro",0,338646,38.29,1984,"Arkansas","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Arkansas",196128,6,"Ronald Reagan","Ronald Reagan",5351583
"George H W Bush","Republican","Texas","Dan Quayle",6,466578,56.37,1988,"Arkansas","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Arkansas",117341,6,"George H W Bush","George H W Bush",1098368
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen",0,349237,42.19,1988,"Arkansas","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Arkansas",117341,6,"George H W Bush","George H W Bush",1098368
"Bill Clinton","Democratic","Arkansas","Al Gore",6,505823,53.21,1992,"Arkansas","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arkansas",168499,6,"Bill Clinton","Bill Clinton",569655
"George H W Bush","Republican","Texas","Dan Quayle",0,337324,35.48,1992,"Arkansas","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arkansas",168499,6,"Bill Clinton","Bill Clinton",569655
"Ross Perot","Independent","Texas","James Stockdale",0,99132,10.43,1992,"Arkansas","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Arkansas",168499,6,"Bill Clinton","Bill Clinton",569655
"Bill Clinton","Democratic","Arkansas","Al Gore",6,475171,53.74,1996,"Arkansas","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arkansas",149755,6,"Bill Clinton","Bill Clinton",1151013
"Bob Dole","Republican","Kansas","Jack Kemp",0,325416,36.8,1996,"Arkansas","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arkansas",149755,6,"Bill Clinton","Bill Clinton",1151013
"Ross Perot","Reform","Texas","Pat Choate",0,69884,7.9,1996,"Arkansas","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Arkansas",149755,6,"Bill Clinton","Bill Clinton",1151013
"George W Bush","Republican","Texas","Dick Cheney",6,472940,51.31,2000,"Arkansas","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Arkansas",50172,6,"George W Bush","George W Bush",537
"Al Gore","Democratic","Tennessee","Joe Lieberman",0,422768,45.86,2000,"Arkansas","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Arkansas",50172,6,"George W Bush","George W Bush",537
"George W Bush","Republican","Texas","Dick Cheney",6,572898,54.31,2004,"Arkansas","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Arkansas",102945,6,"George W Bush","George W Bush",115570
"John Kerry","Democratic","Massachusetts","John Edwards",0,469953,44.55,2004,"Arkansas","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Arkansas",102945,6,"George W Bush","George W Bush",115570
"John McCain","Republican","Arizona","Sarah Palin",6,638017,58.72,2008,"Arkansas","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Arkansas",215707,6,"Barack Obama","John McCain",990320
"Barack Obama","Democratic","Illinois","Joe Biden",0,422310,38.86,2008,"Arkansas","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Arkansas",215707,6,"Barack Obama","John McCain",990320
"Mitt Romney","Republican","Massachusetts","Paul Ryan",6,647744,60.57,2012,"Arkansas","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arkansas",253335,6,"Barack Obama","Mitt Romney",429522
"Barack Obama","Democratic","Illinois","Joe Biden",0,394409,36.88,2012,"Arkansas","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Arkansas",253335,6,"Barack Obama","Mitt Romney",429522
"Donald Trump","Republican","New York","Mike Pence",6,684872,60.57,2016,"Arkansas","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Arkansas",304378,6,"Donald Trump","Donald Trump",77744
"Hillary Clinton","Democratic","New York","Tim Kaine",0,380494,33.65,2016,"Arkansas","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Arkansas",304378,6,"Donald Trump","Donald Trump",77744
"Warren G Harding","Republican","Ohio","Calvin Coolidge",13,624992,66.2,1920,"California","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_California",395801,13,"Warren G Harding","Warren G Harding",1291746
